customer_id,total_logins,avg_session,support_tickets,login_trend,feature_a,feature_b
C100,26,22.94331117122896,0,0.99999950000025,10,17
C101,24,19.340699085229257,0,0.9999990000010001,12,10
C102,19,19.297366208028354,0,0.24999993750001562,27,16
C103,31,17.251331736087028,1,0.0,11,10
C104,35,21.870636992239962,0,-0.599999880000024,15,5
C105,40,19.975604568174244,1,0.24999993750001562,23,11
C106,23,19.98945938839349,0,-0.24999993750001562,16,11
C107,26,19.55745995877842,0,0.33333322222225925,17,14
C108,37,21.11197023209584,0,-0.4285713673469475,12,13
C109,19,20.579502860230303,0,-0.199999960000008,17,11
